name,date,lat,lng
Papatoetoe,2025-09-17,-36.9779932,174.8553697
Bali (17th Sep - 22 Sep),2025-09-22,-8.728402613449175, 115.16926853911838
Perth (22 Sep - 4 Oct),2025-10-04,-31.991196933514697, 115.90299116672078
Papatoetoe,2025-10-04,-36.9779932,174.8553697
